Course Code,Course Name,Course Type,Course Category,Instructor,Venue,Slot,Division,Biometric Attendance Enabled,Registration Limit,Restriction,Session/Division Defined,Total Credits,Lecture,Tutorial,Practical,Self Study,Half Semester,Text Reference,Description
AE 305,Flight Mechanics II,Theory,Interdisciplinary STEM Course.,I - Arnab Maity,"   
FullSemester","15
Fri-15B-19:00:00-20:25:00-
Tue-15A-19:00:00-20:25:00-", , ,300,No restrictions,[],6.0,2.0,1.0, , ,N,"1. Stengel, R. F., Flight Dynamics, Princeton University Press, 2004.2. Roskam, J., Airplane Flight Dynamics and Automatic Flight Controls, DARCorporation, 1995.3. Nelson, R. C., Flight Stability and Automatic Control, Mc Graw HillInternational, 1990.4. Etkin, B. and Duffy, L. D., Dynamics of Flight: stability and control, JohnWiley, NY 1995.","Introduction: Equilibrium, static stability, control. Longitudinal stability and control: Longitudinal equilibrium and static stability, stick fixed neutral point, all moving horizontal tail OR elevator as longitudinal control. Trimmed lift curve slope and advantages of reduced/negative longitudinal static stability. Hinge moments, reversible control, stick force, and trim tab. Stick free static stability, stick-free neutral point. Lateral-directional stability and control: Directional equilibrium, stability and rudder as control. Lateral stability, dihedral angle, aileron control. Dynamical equations: Euler angles. Body angular velocity and Euler angle rates. Body-fixed axis, wind axis, stability axes. Equations of motion of rigid aircraft in body fixed axes. Stability derivatives. Steady flight and perturbed flight leading to linearized equations of motion. Aircraft motion modes: Decoupling of longitudinal dynamics and lateral- directional dynamics. Short period and phugoid modes of longitudinal dynamics. Dutch roll, spiral and roll subsidence modes of lateral-directional dynamics. Effect of winds. Flight simulation."
AE 312,Aerodynamics Laboratory,Lab,Interdisciplinary STEM Course.,"A - Aniruddha Sinha
A - Dhwanil Shukla
A - Jadav Chandra Mandal
A - Viren I. Menezes
I - Vineeth Nair","   
FullSemester","L
Mon-L1-14:00:00-16:55:00-", , ,0,No restrictions,[],5.0,1.0,3.0, , ,N,"1. Goldstein, R. J., Fluid Mechanics Measurements, Taylor and Francis, 1996.2. Pope A., and Goin, K. W., High Speed Wind Tunnel Testing, John Wiley &Sons, 1985.3. Barlow, J. B., Rae, W. H., Pope, A., Low-Speed Wind Tunnel Testing, 3rd Ed.,ISBN 978-0471557746, Wiley-Interscience, 1999.","Types of wind tunnels and their characteristics, wind tunnel corrections Flow past bluff and a streamlined bodies and measurement of pressure drag. Wall shear flows, free shear flows, development of boundary layer on flat plate with and without pressure gradient, free shear layer in a jet, estimation of drag by wake survey method. Flow in a variable area duct and experimental determination of mass flow coefficient. Flow visualization methods, surface flow methods and color die injection method. Measurement of unsteady flow using hot-wire and Laser Doppler Velocimeter"
AE 314,Aircraft Structures Laboratory,Lab,Interdisciplinary STEM Course.,I - Krishnendu Haldar,"   
FullSemester","L
Thu-L3-14:00:00-16:55:00-", , ,0,No restrictions,[],5.0,1.0,3.0, , ,N,"Laboratory Manual, Aircraft Structures Lab., Dept. of Aerospace Engineering, IIT Bombay, 2007.","The aerospace structures laboratory includes experiments related to material aspects as well as structural mechanics. These experiments are largely based upon the syllabus covered in the courses on solid mechanics and aerospace structures. A couple of experiments on vibrations and structural dynamics are also included for exposure. The experiments in this laboratory course cover the following.Fabrication of fibre reinforced composite laminate; tension, compression, interlaminar shear, impact and hardness testing for determination of elastic moduli and strength of material; coefficient of thermal expansion; strain measurement; inverse methods for material property determination (Poisson`s ratio and Youngs Modulus) using measured static and dynamic structural response in conjunction with simple structural models; shear centre of open section thin-walled beam, displacement and strain distribution in bending and torsion of twin-walled open and closed section beams; Buckling of beams/plates; measurement of natural frequency, natural modes and modal damping of beams."
AE 316,Aircraft Propulsion Laboratory,Lab,Interdisciplinary STEM Course.,I - Nagendra Kumar,"   
FullSemester","L
Fri-L4-14:00:00-16:55:00-", , ,0,No restrictions,[],5.0,1.0,3.0, , ,N,"1. Hill, P., and Peterson, C., Mechanics and Thermodynamics of Propulsion,ISBN 978-0132465489, Pearson Education, 2009.2. Laboratory Manual, Propulsion Laboratory, Department ofAerospace Engineering, IIT Bombay, 2007.","Study of aircraft engine models, basic measurement techniques inthermal, mechanical and fluid systems.Experimentation related to aerodynamics and performance ofturbomachinery (in axial flow fan set-up and in two-dimensionalcompressor/turbine cascades), fuel systems, combustion and heattransfer (convective heat transfer to geometries typical of aerospacepropulsion applications) in aerospace propulsion systems.Experiments on performance characteristics of gas turbine/jetpropulsion systems."
AE 330,Aerospace Propulsion,Theory,Interdisciplinary STEM Course.,I - Nagendra Kumar,"   
FullSemester","8
Mon-8A-14:00:00-15:25:00-
Thu-8B-14:00:00-15:25:00-", , ,300,No restrictions,[],6.0,2.0, ,1.0, ,N,"1. Sutton, G. P., and Biblarz, O., Rocket Propulsion Elements, 7th Ed., WileyIndia Pvt. Ltd., 2010.2. Oates, G. C., Aerothermodynamics of Gas Turbine and Rocket Propulsion,AIAA, 19883. Barrere, M., Jaumotte, A., de Veubeke, B. F., Vendenkerchove, J., RocketPropulsion, Elsevier Publishing Company, Amsterdam, 1960.4. Mukunda H. S. Understanding Aerospace Chemical Propulsion, InterlinePublishing, Bangalore, 2004","Introduction, Various propulsive devices used for aerospace applications. Classifications of rockets: Electric, Nuclear and Chemical rockets, Applications of rockets. Nozzle design: Flow through nozzle, Real nozzle, Equilibrium and frozen flow, Adaptive and non-adaptive nozzles. Thrust vector controls, Rocket performance parameters. Solid propellant rockets, Grain compositions. Design of grain. Liquid propellant rockets, Injector design, cooling systems, Feed Systems: Pressure feed and turbo-pump feed system. Heat transfer problems in rocket engines."
AE 332,Aircraft Design,Theory,Interdisciplinary STEM Course.,I - Avijit Chatterjee,"   
FullSemester","2
Mon-2A-09:30:00-10:25:00-
Thu-2C-11:35:00-12:30:00-
Tue-2B-10:35:00-11:30:00-", , ,300,No restrictions,[],6.0,2.0,1.0, , ,N,"1. Raymer, D. P., Aircraft Design - A Conceptual Approach, AIAA EducationalSeries, 4th Ed., 2006.2. Brandt, S. A., Stiles, R. J., Bertin, J. J., Whitford, R., Introduction toAeronautics: A Design Perspective, AIAA Educational Series, 2nd ed., 2004.3. Jenkinson, L. R., Simpkin, P. and Rhodes, D., Civil Jet Aircraft Design, ArnoldPublishers, London, 1999.4. Fielding, J., Introduction to Aircraft Design, Cambridge Aerospace Series,Cambridge University Press, 1999.5. Kundu, A.K, Aircraft Design, Cambridge Aerospace Series, CambridgeUniversity Press, ISBN-13 978-0-521-88516-4, 2010.","Introduction to Aircraft Design: Three phases in aircraft design, Computer based aircraft design methodologies, differences between LTA and HTA aircraft, type of civil and military aircraft. Configuration and Layout: Types and comparison of wing, tail, fuselage, landing gear, wing-tail combinations, power plant (types, numbers, locations), unconventional aircraft configurations. Sizing and Constraint Analysis: Initial sizing, estimation of design gross weight, rubber engine sizing and fixed engine sizing, refined sizing method and constraint analysis. Estimation Methodologies: Lift and drag coefficient, design loads, component mass breakdown, acquisition cost, direct operating cost. Operational and Environmental Issues: Range-payload diagram, V-n diagram, noise and emission levels."
AE 332,Aircraft Design,Theory,Interdisciplinary STEM Course.,I - Avijit Chatterjee,"   
FullSemester","2
Mon-2A-09:30:00-10:25:00-
Thu-2C-11:35:00-12:30:00-
Tue-2B-10:35:00-11:30:00-", M, ,20,No restrictions,[],6.0,2.0,1.0, , ,N,"1. Raymer, D. P., Aircraft Design - A Conceptual Approach, AIAA EducationalSeries, 4th Ed., 2006.2. Brandt, S. A., Stiles, R. J., Bertin, J. J., Whitford, R., Introduction toAeronautics: A Design Perspective, AIAA Educational Series, 2nd ed., 2004.3. Jenkinson, L. R., Simpkin, P. and Rhodes, D., Civil Jet Aircraft Design, ArnoldPublishers, London, 1999.4. Fielding, J., Introduction to Aircraft Design, Cambridge Aerospace Series,Cambridge University Press, 1999.5. Kundu, A.K, Aircraft Design, Cambridge Aerospace Series, CambridgeUniversity Press, ISBN-13 978-0-521-88516-4, 2010.","Introduction to Aircraft Design: Three phases in aircraft design, Computer based aircraft design methodologies, differences between LTA and HTA aircraft, type of civil and military aircraft. Configuration and Layout: Types and comparison of wing, tail, fuselage, landing gear, wing-tail combinations, power plant (types, numbers, locations), unconventional aircraft configurations. Sizing and Constraint Analysis: Initial sizing, estimation of design gross weight, rubber engine sizing and fixed engine sizing, refined sizing method and constraint analysis. Estimation Methodologies: Lift and drag coefficient, design loads, component mass breakdown, acquisition cost, direct operating cost. Operational and Environmental Issues: Range-payload diagram, V-n diagram, noise and emission levels."
AE 345,Aircraft Propulsion Laboratory,Lab,Interdisciplinary STEM Course.,I - Nagendra Kumar,"   
FullSemester","L
Fri-L4-14:00:00-16:55:00-", , ,0,No restrictions,[],3.0, , ,3.0, ,N,"1. Hill, P., and Peterson, C., Mechanics and Thermodynamics of Propulsion, ISBN 978-0132465489, Pearson Education, 2009.2. Laboratory Manual, Propulsion Laboratory, Department of Aerospace Engineering, IIT Bombay, 2007","Study of gas turbine cycle and engine operation characteristics, Flow through nozzle – pressure distribution and thrust measurement, Characteristics of impulse and reaction turbine, Measurement of laminar flame speed, Fuel injection system"
AE 419,Supervised Learning,Other Project,Interdisciplinary STEM Course.,I - Dhwanil Shukla,"   
FullSemester",, , ,0,No restrictions,[],6.0, , , , ,N, , 
AE 488,Lighter-Than-Air Systems,Theory,Interdisciplinary STEM Course.,I - Rajkumar Sureshchandra Pant,"   
FullSemester","9
Mon-9A-15:30:00-16:55:00-
Thu-9B-15:30:00-16:55:00-", , ,25,No restrictions,[],6.0,3.0, , , ,N," Pant, R.S., Course Material for Design and Development of LTA systems, Curriculum DevelopmentProgram, IIT Bombay, 2010. Khoury, G., Ed., Airship Technology, 2nd Edition, Cambridge Aerospace Series, Cambridge University Press,ISBN 978-1107019706, 2. Carichner, G. E., and Nicolai, L. M., Fundamentals of Aircraft and Airship Design, Volume 2 302226 AirshipDesign and Case Studies, AIAA Education Series, ISBN: 978-1-60086-898-6, 2013 Hunt, P. V., Advanced airship technologies and design approaches, AIAA Education Series, ISBN 978-1-62410-351-3, 2.","Course Content (List of the topics/sub-topics to be covered in the lectures/practicals/assignments): Introduction to LTA Systems, Historical Perspectives, Principles of Aerostatics, Airship Structures and Envelope Materials, Propulsion, Aerodynamics and Stability analysis of airships, Determination of baseline specifications of airships, Ground handling of Airships, Case studies on airship operations, Design and development of remotely controlled airships, Introduction to Aerostats, Methodology for Aerostat Sizing, Equilibrium and Stability analysis of aerostats, Aerostat envelope shape optimization, Unconventional Aerostats, Applications of Aerostats, Hybrid LTA systems, Stratospheric Airships, Current trends and recent developments"
AE 493,BTP - I,Other Project,Interdisciplinary STEM Course.,I - Arnab Maity,"   
FullSemester",, , ,0,No restrictions,[],6.0, , ,5.0, ,N, , 
AE 494,BTP - II,Other Project,Interdisciplinary STEM Course.,I - Vineeth Nair,"   
FullSemester",, , ,0,No restrictions,[],12.0, , ,12.0, ,N, , 
AE 501,Virtual Instrumentation for Aerospace Engineers,Theory,Interdisciplinary STEM Course.,I - Chandra Sekar Thyagarajan,"   
FullSemester","7
Fri-7B-08:30:00-09:25:00-
Wed-7A-08:30:00-09:25:00-
Wed-LX-14:00:00-16:55:00-", , ,10,No restrictions,[],7.0,2.0, ,3.0, ,N,"Jovitha Jerome, 302223Virtual Instrumentation using Labview,302224 Second Edition, PHI Learning Private Limited, 2011.Gary W. Johnson and Richard Jennings, 302223 LabVIEW-Graphical Programming302224 Fourth Edition, McGraw-HillThomas G. Beckwith, Roy D. Marangoni and John H. Lienhard V, 302223Mechanical Measurements302224 6th Edition, Person India, 2020.Nitesh Pradhan, 302223Let Us LabVIEW Part 1 and Part 2302224Tutorials by National Instruments 302223https://learn.ni.com/learn/article/labview-tutorial302224","Virtual Instrumentation: Introduction to VI, typical applications, functional systems, graphical programming, data flow techniques, and advantages of VI techniques. VI programming techniques (using LabVIEW); VIs and subVIs, loops and charts, arrays, clusters and graphs, case and sequence structures, formula nodes, string and file I/O, DAQ methods, code interface nodes and DLL links. Mechanical Measurements: Sensors, transducers and signal conditioning; common transducers for displacement, temperature, load, pressure, flow etc. Data Acquisition (DAQ): Single-ended, floating and differential inputs, grounding, noise and filtering, AD DAC, DIO, counters and timers, PC Hardware structure, timing, interrupts, DMA, operating system, PCI buses. Bus-based instrumentation; instrumentation buses, GPIB, RS232C. Signal Processing: Nyquist criteria, Signal-to-Noise Ratio,"
AE 503,Introduction to Autonomous Systems,Theory,Interdisciplinary STEM Course.,I - Ashok Joshi,"   
FullSemester","10
Fri-10B-14:00:00-15:25:00-
Tue-10A-14:00:00-15:25:00-", , ,15,No restrictions,[],6.0,3.0, , , ,N,"Weiss, G. (2013), `Multi-agent Systems`, 2nd Ed., Wiley.Siegwart (2018), `Introduction to Autonomous Mobile Robot`, MIT Press.Woodridge, M. (2009), `An Introduction to Multi-agent Systems`, 2nd Ed., Wiley.Russel, S.J and Norvig, P. (2014), `Artificial Intelligence: A Modern Approach`, 4th Ed., Pearson.Kopetz, H. (2011), `Real-time Systems`, 2nd Ed., Kluwer Academic Publishers.Choset, H.M. et al, (2005), `Principles of Robot Motion: Theory, Algorithms and Implementation`, MIT Press.","Introduction to autonomous systems, concept of autonomy and intelligence including artificial intelligence and its evolution. AI elements, agents, their environment, architecture and types. Knowledge and reasoning, including propositional logic, Bayesian techniques and Bayes` theorem. Complexity implementation issues and concept of real-time systems including applicable hardware and software elements. Introduction to autonomous vehicles including sensors, localization and map building. Path planning and solution search strategies including learning methods e.g. logical, Bayesian and reinforcement learning. Concept of multi-agent systems and introduction to game theory."
AE 607,Aerospace Propulsion Laboratory,Lab,Interdisciplinary STEM Course.,I - Nagendra Kumar,"   
FullSemester","L
Fri-L4-14:00:00-16:55:00-", , ,0,No restrictions,[],4.0, , ,4.0, ,N, ,"Study of Aircraft engine models. Basic Measurement Techniques in thermal, mechanical and fluid systems. Experimentation related to Aerodynamics of Turbomachinery, fuel systems, combustion and vibration in aerospace propulsion systems."
AE6103,Introduction to Space Technology,Theory,Interdisciplinary STEM Course.,"A - Ashok Joshi
A - Karthikeyan Lanka
I - Chandra Sekar Thyagarajan","   
FullSemester","6
Fri-6B-11:05:00-12:30:00-
Wed-6A-11:05:00-12:30:00-", , ,30,No restrictions,[],6.0,3.0, , , ,N,X,"1) Introduction to Space Technology-This course is a prerequisite for taking up space technology minor to be taught in 3rd semester. 1. Basics of launch vehicle design & Missiles and their subsystems, GNC etc. and Satellite systems Engineering design, Fundamentals of Structure & Mechanisms, communication with the ground stations, ground tracking in collaboration with foreign space center 2. Fundamentals of mission trajectory design: Coordinate reference frames, space flight mechanics and attitude dynamics, Attitude parameterization (direction cosine matrix, Euler axis and angles, Quaternions, Euler angles), attitude rates, attitude determination, Euler equation and attitude dynamics 3. Introduction to launch facilities, launch vehicle assembly, integration and launch readiness 4. Basics of Space data products and services including AI and ML: Definition and Overview of Remote Sensing and Remote Sensing Systems: Electromagnetic Radiation, Laws of Radiation, EM Spectrum, Sources of EMR, Interaction between EM Radiation and matter, Reflection, Absorption and Transmission, Interactions between EM Radiation and Atmosphere, Atmospheric windows. Platforms: Types of platforms (Ground, Airborne and Space borne); Orbit of satellites; Kepler’s law; Satellite characteristics; Satellites for earth observation studies and planetary missions (Chandrayaan); Geostationary and UAV platforms. 5. Space Technology: Fundamentals of Digital Image Processing, Fundamentals of Photogrammetry, Cartography and Global Navigation Satellite System (GNSS), space materials processing 6. Space Law and Policy: Introduction to the need and overview of all aspects of Space Law and its interface with International Conventions and Treaties, Introduction and Basic Principles of International Law, Indian Space Bill and Space policy 2022, Spaceenabled Communication and Services Regulation, Space tourism,"
AE6104,Nonlinear Elasticity,Theory,Interdisciplinary STEM Course.,I - Krishnendu Haldar,"   
FullSemester","10
Fri-10B-14:00:00-15:25:00-
Tue-10A-14:00:00-15:25:00-", , ,300,No restrictions,[],6.0,3.0, , , ,N,"1. Ogden, R.W., 1997. Non-linear elastic deformations. Courier Corporation.2. Green, A.E. and Zerna, W., 1992. Theoreticalelasticity. Courier Corporation.3. Holzapfel, A.G., 2000. Nonlinear solid mechanics II. John Wiley & Sons, Inc.4. Chadwick, P., 2. Continuum mechanics: concise theory and problems. Courier Corporation.5. Taber, L.A., 2004. Nonlinear theory of elasticity:applications in biomechanics. World Scientific.6. Spencer, A.J.M., 2004. Continuum mechanics.Courier Corporation.","1.Review of tensor algebra and calculus: Vector space, homomorphism, generalized curvilinear coordinates, Christoffel symbols, representation of the covariant derivative, divergence and curl. 2.Review of nonlinear deformation theory of solids: Kinematics of finite deformation, different easures of finite strains and stresses, objectivity and objective rates, conservation laws and entropy inequality. 3.Constitutive equations: Basic introduction to group theory, material symmetry group, simple material, elastic solids, isotropic and anisotropic solids, constitutive responses with the strain-invariants of a given group. 4.Hyperelastic material: Definition, strain energy function, reduced form of constitutive equations, isotropic hyperelastic materials, incompressibility. 5.Different constitutive laws: Specific form of strain energy functions, Neo-Hookean, Mooney-Rivlin, Ogden, Yeoh, etc. 6.Compressible hyperelastic material: Dilational- distorsion decomposition of deformation gradient, projection tensor, volumetric and isochoric decomposition of strain energy, constitutive laws for compressible materials, Blatz and Ko model. 7.Elasticity tensors: Material and spatial representation, minor and major symmetry, derivation of elasticity tensors for different constitutive models. 8.Transversely isotropic materials: Transverse anisotropy, structural tensors, invariants for strain energy function, composite materials with two families of fibers,orthotopic hyperelastic materials. 9.Special deformations: Uniaxial extension, simple shear, pure torsion of a right circular cylinder, simultaneous extension, inflation and torsion of a cylindrical tube, symmetric expansion of thick spherical shell. 9.Parameter identification: Investigation of experimental data, identify loading conditions, identify appropriate constitutive models, model calibration through least square method. 10.Stability and bifurcation: Rate and incremental constitutive equations, hypoelasticity, local conditions for uniqueness and stability, ellipticity, introduction to the bifurcation problem, examples of bifurcation on elastic solids."
