Course Code,Course Name,Course Type,Course Category,Instructor,Slot,Division,Restriction,Credits,Description
AE 234,Aircraft Propulsion,Theory,Interdisciplinary STEM Course.,I - Vasudeva Raghavendra Kowsik Bodi,"8
Mon-8A-14:00:00-15:25:00-ESE 104
Thu-8B-14:00:00-15:25:00-ESE 104", ,[],6,"Introduction to various aircraft propulsive devices: Piston-prop, Turbo-prop, Turbojet, Turbofan, Turboshaft, Vectored- thrust, Lift engines. Gas Turbine Cycles and cycle based performance analysis; 1-D and 2-D analysis of flow through gas turbine components - Intake, Compressors, Turbines, Combustion Chamber, Afterburner, and Nozzle. Compressor and Turbine blade shapes; cascade theory; radial equilibrium theory; matching of compressor and Turbine. Turbine cooling. Single spool and Multi- spool engines. Powerplant performance with varying speed and altitude. Other propulsion systems: ramjets, scramjets and pulsejets."
AE 236,Compressible Fluid Mechanics,Theory,Interdisciplinary STEM Course.,I - Aniruddha Sinha,"6
Fri-6B-11:05:00-12:30:00-Class Room : LT 103
Wed-6A-11:05:00-12:30:00-Class Room : LT 103", ,[],6,"Review of Fundamentals. Concept of Waves in fluid, Mach waves, Compression waves, Expansion waves. Isentropic flow, Adiabatic flow, Shock waves. Stationary and Moving Normal Shocks. Oblique Shocks, Bow Shocks in 2D. Conical Shocks, Bow Shocks in 3D. Shock interactions, Shock reflection from boundaries, Shockwave Boundary Layer interaction. Prandtl-Meyer expansion fans. Shock Expansion Methods. Mach Number and Area rule, Flow through a Nozzle: Convergent Nozzle, Convergent Divergent Nozzle, Under-expanded and Over-expanded Nozzle flows. Duct flow with friction and heat addition. Shock Tubes. Supersonic and Transonic Wind tunnels. Potential flow equations. High temperature aspects of gas dynamics. Introduction to hypersonic flows"
AE 308,Control Theory,Theory,Interdisciplinary STEM Course.,I - Rohit Vishwajit Nanavati,"4
Mon-4A-11:35:00-12:30:00-Class Room : LC 302
Thu-4C-09:30:00-10:25:00-Class Room : LC 302
Tue-4B-08:30:00-09:25:00-Class Room : LC 302", ,[],6,"Introduction: Control situations & control objectives, broad control tasks, open-loop and closed-loop control concept, various types of control structures, unity negative feedback control systems, basic control actions. Two-position Control Systems: On-off control concept and action of an ideal relay, 1st and 2nd order system on-off control, effect of hysteresis on the closed-loop control performance, relay modelling. System response: Response of higher order systems to standard and generic inputs in Laplace and time domains, concept of partial fractions. System Stability: Concept of system stability and connection with its response, asymptotic and bounded-input bounded-output stability, role of characteristic roots in stability, Routh’s criterion for absolute and relative stability analysis, including unknown parameter based stability. Proportional Control Systems: Proportional control action modelling, stability and response of proportional control systems, concept of root locus and its application to proportional control system analysis. Frequency Response: Concept of frequency domain and frequency response, response representation using bode, Nyquist and Nichol’s plots, closed-loop system analysis using frequency response attributes, Nyquist stability analysis. Closed-loop Response Attributes: Transient and steady-state response concept, tracking control task and closed-loop error constants, integral control option for tracking, transient response and role of derivative action. Closed-loop Response Control Elements: PI controllers and lag compensators for tracking control tasks, PD controllers and lead compensators for transient response control tasks, PID controllers and lag-lead compensators for complex control tasks. Design of Closed-loop Control Systems: Closed-loop performance specifications, gain and phase margins as design specifications, use of root locus, Bode plots, Nyquist plots and Nichol’s plots in closed-loop control design, design rules, methodologies and guidelines for different types of control tasks."
AE 308,Control Theory,Theory,Interdisciplinary STEM Course.,I - Rohit Vishwajit Nanavati,"4
Mon-4A-11:35:00-12:30:00-Class Room : LC 302
Thu-4C-09:30:00-10:25:00-Class Room : LC 302
Tue-4B-08:30:00-09:25:00-Class Room : LC 302", M,[],6,"Introduction: Control situations & control objectives, broad control tasks, open-loop and closed-loop control concept, various types of control structures, unity negative feedback control systems, basic control actions. Two-position Control Systems: On-off control concept and action of an ideal relay, 1st and 2nd order system on-off control, effect of hysteresis on the closed-loop control performance, relay modelling. System response: Response of higher order systems to standard and generic inputs in Laplace and time domains, concept of partial fractions. System Stability: Concept of system stability and connection with its response, asymptotic and bounded-input bounded-output stability, role of characteristic roots in stability, Routh’s criterion for absolute and relative stability analysis, including unknown parameter based stability. Proportional Control Systems: Proportional control action modelling, stability and response of proportional control systems, concept of root locus and its application to proportional control system analysis. Frequency Response: Concept of frequency domain and frequency response, response representation using bode, Nyquist and Nichol’s plots, closed-loop system analysis using frequency response attributes, Nyquist stability analysis. Closed-loop Response Attributes: Transient and steady-state response concept, tracking control task and closed-loop error constants, integral control option for tracking, transient response and role of derivative action. Closed-loop Response Control Elements: PI controllers and lag compensators for tracking control tasks, PD controllers and lead compensators for transient response control tasks, PID controllers and lag-lead compensators for complex control tasks. Design of Closed-loop Control Systems: Closed-loop performance specifications, gain and phase margins as design specifications, use of root locus, Bode plots, Nyquist plots and Nichol’s plots in closed-loop control design, design rules, methodologies and guidelines for different types of control tasks."
AE 326,Vibrations and Structural Dynamics,Theory,Interdisciplinary STEM Course.,I - Abhijit Gogulapati,"9
Mon-9A-15:30:00-16:55:00-ESE 105
Thu-9B-15:30:00-16:55:00-ESE 105", ,[],6,"Single degree of freedom system vibrations, Free and Forced Undamped and Damped Vibrations. Periodic and General Excitations: Duhamel Integral Approach. Introduction to Vibration Isolation. Discrete systems with multiple degrees of freedom, elastic and inertia coupling, Natural frequencies and modes, free vibration response, Orthogonality of natural modes, modal analysis, Forced vibration response, special and general cases of damping, matrix formulations, solution of the Eigen Value problem. Vibration of continuous systems, differential equations and boundary conditions, Free and forced longitudinal, flexural and torsional vibrations of one-dimensional structures, Elements of analytical dynamics, generalized coordinates, Principle of Virtual Work, Hamilton Principle, Lagrange equations, Applications. Modal analysis. Approximate methods based on Lagrange equation and assumed modes. Structural damping."
AE 339,High Speed Aerodynamics,Theory,Interdisciplinary STEM Course.,I - Vineeth Nair,"4
Mon-4A-11:35:00-12:30:00-ESE 106
Thu-4C-09:30:00-10:25:00-ESE 106
Tue-4B-08:30:00-09:25:00-ESE 106", ,[],6,"Introduction: Conservation laws, equivalence of momentum and energy equations, isentropic flow, speed of sound, Mach waves, static and stagnation conditions Subsonic compressible flow past airfoils, linearized velocity potential equation, Prandtl-Glauert compressibility corrections, critical Mach number, drag divergence Mach number, effect of sweep, supercritical airfoils, area rule Supersonic flows: Stationary and moving normal shock waves, Pitot probes in compressible flows, oblique shocks, shock interactions, shock reflection from boundaries, shockwave-boundary layer interaction, Prandtl-Meyer expansion fans, interaction of expansion waves, reflection of expansion waves from boundaries, shock-expansion wave interaction, unsteady expansion waves superpositions; Transonic flow past unswept airfoils, transonic similarity rules, numerical methods in transonic flows, supersonic flow past airfoils, linearized supersonic flow, shock expansion method, supersonic flow over wings, subsonic/supersonic leading edge. Internal aerodynamics: Mach Number and area relationship, critical conditions, convergent nozzles, convergent-divergent nozzles, under- and over-expanded nozzle flows, convergent-divergent supersonic diffusers, supersonic wind tunnels, shock tubes Hypersonic flows: Introduction to hypersonic flows, real gas effects, Newtonian theory, lift and drag in hypersonic flows, hypersonic shockwave relations, Mach number independence"
AE 339,High Speed Aerodynamics,Theory,Interdisciplinary STEM Course.,I - Vineeth Nair,"4
Mon-4A-11:35:00-12:30:00-ESE 106
Thu-4C-09:30:00-10:25:00-ESE 106
Tue-4B-08:30:00-09:25:00-ESE 106", M,[],6,"Introduction: Conservation laws, equivalence of momentum and energy equations, isentropic flow, speed of sound, Mach waves, static and stagnation conditions Subsonic compressible flow past airfoils, linearized velocity potential equation, Prandtl-Glauert compressibility corrections, critical Mach number, drag divergence Mach number, effect of sweep, supercritical airfoils, area rule Supersonic flows: Stationary and moving normal shock waves, Pitot probes in compressible flows, oblique shocks, shock interactions, shock reflection from boundaries, shockwave-boundary layer interaction, Prandtl-Meyer expansion fans, interaction of expansion waves, reflection of expansion waves from boundaries, shock-expansion wave interaction, unsteady expansion waves superpositions; Transonic flow past unswept airfoils, transonic similarity rules, numerical methods in transonic flows, supersonic flow past airfoils, linearized supersonic flow, shock expansion method, supersonic flow over wings, subsonic/supersonic leading edge. Internal aerodynamics: Mach Number and area relationship, critical conditions, convergent nozzles, convergent-divergent nozzles, under- and over-expanded nozzle flows, convergent-divergent supersonic diffusers, supersonic wind tunnels, shock tubes Hypersonic flows: Introduction to hypersonic flows, real gas effects, Newtonian theory, lift and drag in hypersonic flows, hypersonic shockwave relations, Mach number independence"
AE 341,Flight Mechanics of Aircrafts and Spacecrafts,Theory,Interdisciplinary STEM Course.,"A - Hemendra Arya
I - Ashok Joshi
I - Rohit Gupta","1
Mon-1A-08:30:00-09:25:00-ESE 106
Thu-1C-10:35:00-11:30:00-ESE 106
Tue-1B-09:30:00-10:25:00-ESE 106", ,[],6,"Essential features of aircraft and spacecraft operations and flight. Basics of static equilibrium and stability of aircrafts (longitudinal, lateral, and roll). A concise introduction to dynamics of rigid bodies (inertia, parameterization of rotation). Elements of aircraft flight dynamics, including stability derivatives and maneuvers. Spacecraft attitude dynamics Orbits in two dimensions Orbits in three dimensions Orbital maneuvers"
AE 341,Flight Mechanics of Aircrafts and Spacecrafts,Theory,Interdisciplinary STEM Course.,"A - Hemendra Arya
I - Ashok Joshi
I - Rohit Gupta","1
Mon-1A-08:30:00-09:25:00-ESE 106
Thu-1C-10:35:00-11:30:00-ESE 106
Tue-1B-09:30:00-10:25:00-ESE 106", M,[],6,"Essential features of aircraft and spacecraft operations and flight. Basics of static equilibrium and stability of aircrafts (longitudinal, lateral, and roll). A concise introduction to dynamics of rigid bodies (inertia, parameterization of rotation). Elements of aircraft flight dynamics, including stability derivatives and maneuvers. Spacecraft attitude dynamics Orbits in two dimensions Orbits in three dimensions Orbital maneuvers"
AE 343,Aerodynamics Laboratory,Lab,Interdisciplinary STEM Course.,"A - Aniruddha Sinha
A - Viren I. Menezes
I - Vineeth Nair","L
Tue-L2-14:00:00-16:55:00-", ,[],3,"Types of low-speed wind tunnels and their characteristics, suction and blowdown tunnels, closed and open jet tunnels, Pitot probes and velocity measurement, characteristics of a planar jet flow, self-similarity, boundary layer flow over a flat plate, estimation of displacement and momentum thicknesses and shape factor, locating laminar, transitional and turbulent boundary layers, flow past airfoil and measurement of pressure drag, estimation of drag by wake survey method, measurement of unsteady flow using hot-wire anemometer, shock tube measurements, incident and reflected shock waves."
AE 344,Aero Propulsion,Theory,Interdisciplinary STEM Course.,I - Hrishikesh Gadgil,"2
Mon-2A-09:30:00-10:25:00-Class Room : VMCC33
Thu-2C-11:35:00-12:30:00-Class Room : VMCC33
Tue-2B-10:35:00-11:30:00-Class Room : VMCC33", ,[],6,"Introduction to various aircraft propulsive devices: Piston-prop, Turbo-prop, Turbojet, Turbofan, Turboshaft, Vectored- thrust, Lift engines.  Gas Turbine Cycles and cycle based performance analysis; 1-D and 2-D analysis of flow through gas turbine components - Intake, Compressors, Turbines, Combustion Chamber, Afterburner, and Nozzle. Other propulsion systems: ramjets, scramjets and pulsejets Introduction to various rocket engine concepts: thrust equation, Rocket Performance parameters Mission analysis, and Multi-staging Nozzle theory, combustion of propellants, thrust vectroing. Rocket vehicles: Solid propellant rockets, liquid propellant rockets, electric thrusters: Concepts, constructional features, propellants"
AE 344,Aero Propulsion,Theory,Interdisciplinary STEM Course.,I - Hrishikesh Gadgil,"2
Mon-2A-09:30:00-10:25:00-Class Room : VMCC33
Thu-2C-11:35:00-12:30:00-Class Room : VMCC33
Tue-2B-10:35:00-11:30:00-Class Room : VMCC33", M,[],6,"Introduction to various aircraft propulsive devices: Piston-prop, Turbo-prop, Turbojet, Turbofan, Turboshaft, Vectored- thrust, Lift engines.  Gas Turbine Cycles and cycle based performance analysis; 1-D and 2-D analysis of flow through gas turbine components - Intake, Compressors, Turbines, Combustion Chamber, Afterburner, and Nozzle. Other propulsion systems: ramjets, scramjets and pulsejets Introduction to various rocket engine concepts: thrust equation, Rocket Performance parameters Mission analysis, and Multi-staging Nozzle theory, combustion of propellants, thrust vectroing. Rocket vehicles: Solid propellant rockets, liquid propellant rockets, electric thrusters: Concepts, constructional features, propellants"
AE 345,Aircraft Propulsion Laboratory,Lab,Interdisciplinary STEM Course.,I - Nagendra Kumar,"L
Fri-L4-14:00:00-16:55:00-", ,[],3,"Study of gas turbine cycle and engine operation characteristics, Flow through nozzle – pressure distribution and thrust measurement, Characteristics of impulse and reaction turbine, Measurement of laminar flame speed, Fuel injection system"
AE 419,Supervised Learning,Other Project,Interdisciplinary STEM Course.,I - Pradeep Amboor Madathil,, ,[],6, 
AE 429,Aircraft Design Project,Lab,Interdisciplinary STEM Course.,"A - Ganapathi Bhat
I - Avijit Chatterjee","6
Fri-6B-11:05:00-12:30:00-
Wed-6A-11:05:00-12:30:00-", ,[],6,"Students complete a group project involving conceptual design of an aircraft, whilemeeting some stated requirements.The group project is aimed to achieve the following learning goals for the students:1. To provide hands-on experience related to Aircraft Design,2. To be able to plan and execute a multi-disciplinary design task,3. To be able to successfully present the results of the design task verbally and inthe form of a report and drawings,4.To learn to work efficiently in a group and as a member of the group."
AE 493,BTP - I,Other Project,Interdisciplinary STEM Course.,I - Pradeep Amboor Madathil,, ,[],6, 
AE 494,BTP - II,Other Project,Interdisciplinary STEM Course.,I - Pradeep Amboor Madathil,, ,[],12, 
AE 616,Gas Dynamics,Theory,Interdisciplinary STEM Course.,I - Aniruddha Sinha,"6
Fri-6B-11:05:00-12:30:00-Class Room : LT 103
Wed-6A-11:05:00-12:30:00-Class Room : LT 103", ,[],6,Basic equation of motion. Small perturbation methods in subsonic and supersonic flows. Similarity rules in high speed flows. Transonic flows. Normal and oblique shocks. Conical flow. Flow in ducts of variable cross section. Method of characteristics and design of supersonic nozzles. Viscous effects in compressible flow. Hypersonic flows.
AE 625,Particle Methods for Fluid Flow Simulation,Theory,Interdisciplinary STEM Course.,I - Prabhu Ramachandran,"11
Fri-11B-15:30:00-16:55:00-Class Room : LT 102
Tue-11A-15:30:00-16:55:00-Class Room : LT 102", ,[],6,"he course elaborates particle methods with an emphasis on fluid flow simulation. The course broadly introduces the student to the vortex method, the method of Smoothed Particle Hydrodynamics (SPH) and Direct Simulation Monte-Carlo (DSMC). The following topics will be covered.A brief introduction to vortex dynamics and the basic laws of vorticity. An introduction to inviscid vortex methods for 2D simulation with applications to a few sample problems including the numerical simulation of vortex sheet rollup. Brief introduction to panel methods and their applications in the context of vortex methods. An overview of various viscous vortex methods and their application in simulating 2D, incompressible, viscous fluid flow problems. Introduction to the Fast Multipole Method (FMM) and other fast algorithms for particle simulation. 3D vortex methods: vortex filaments and vortex particles. Introduction to the method of Smoothed Particle Hydrodynamics (SPH). Applications of the SPH. An introduction to the Direct Simulation Monte-Carlo method and its applications."
AE 641,Introduction to Navigation and Guidance,Theory,Interdisciplinary STEM Course.,I - Arnab Maity,"14
Fri-14B-17:30:00-18:55:00-Class Room : LT 101
Tue-14A-17:30:00-18:55:00-Class Room : LT 101", ,[],6,"Introduction: Fundamentals of Navigation, Historical Perspective and Stellar Navigation Concept Basic Navigation Strategies: Radio and Radar based Navigation Systems, Inertial Navigation System (INS) Modern Navigation Methods: Global Positioning System (GPS) based Navigational Aids, INS-GPS based Navigation and Other Specialized Navigation Systems Concept of Guidance: Fundamentals of Guidance, Concepts of Intercept Geometry, Line of Sight and Collision Triangle Basic Guidance Strategies: Proportional Navigation & Guidance (PNG) and Determination of Miss Distance, Augmented PNG and its comparison with PNG Advanced Guidance Methods: Command to LOS & Beam Rider Guidance, Pulsed and Lambert`s Guidance Special Topics: Tactical Vs. Strategic Considerations in Guidance, Target maneuver"
AE 649,Finite Element Method,Theory,Interdisciplinary STEM Course.,I - Padubidri Janardhan Achar Guruprasad,"1
Mon-1A-08:30:00-09:25:00-ESE 109
Thu-1C-10:35:00-11:30:00-ESE 109
Tue-1B-09:30:00-10:25:00-ESE 109", ,[],6,"Basics of finite element method; The standard discrete system; Variational methods of approximation: Rayleigh-Ritz method and Method of Weighted Residuals; Problems in Linear Elasticity; Variational Forms and WeakForms of Finite Element Approximation: 1-D Problems (bar, Euler-Bernoulli beam, Timoshenko beam);Discussion on shear locking problem; Constraint equations; Standard 2- and 3 dimensional finite elements;Isoparametric elements; Nonconforming elements; Numerical integration; Reduced integration; Numerical errorsand convergence; Introduction to finite element method in dynamics and vibrations; Computer implementation ofthe finite element models."
AE 650,Mini Project,Other Project,Interdisciplinary STEM Course.,"I - Nagendra Kumar
I - Prabhu Ramachandran",, ,[],6,• This is a supervised learning program whereby the student is expected to solve a problem of practical interest using modern tools.
AE 662,Applied Optimal Control,Theory,Interdisciplinary STEM Course.,"I - K.S Mallikarjuna Rao
I - Rohit Gupta","10
Fri-10B-14:00:00-15:25:00-Class Room : LT 104
Tue-10A-14:00:00-15:25:00-Class Room : LT 104", ,[],6,"Motivation and Overview; Mathematical Preliminaries; Unconstrained Optimization and Constrained Optimization; Differentials in Optimal Control; Calculus of Variations; Numerical Techniques for Optimal Control/Trajectory Optimization: Gradient Method, Shooting Method; Infinite-time and Finite-time Linear Quadratic Regulator (LQR); Infinite-time and Finite-time State Dependent Riccati Equation (SDRE); Dynamic Programming and Approximate Dynamic Programming; Neighboring Optimal Control; Constrained Optimal Control; Singular Optimal Control; Generation of Optimal Trajectories: Pseudospectral Method, Model Predictive Static Programming (MPSP), Generalized MPSP; Time Optimal Control; Linear Quadratic (LQ) Observer and Kalman Filter; Linear Quadratic Gaussian (LQG) Design; Solutions of Practical Problems"
AE 667,Rotary Wing Aerodynamics,Theory,Interdisciplinary STEM Course.,I - Dhwanil Shukla,"3
Mon-3A-10:35:00-11:30:00-Class Room : LT 305
Thu-3C-08:30:00-09:25:00-Class Room : LT 305
Tue-3B-11:35:00-12:30:00-Class Room : LT 305", ,[],6,"Introduction (importance, challenges, definition of terms); Hover prediction methods (momentum theory, blade element theory, blade element momentum theory, vortex theory); Vertical descent of rotors, Coning angle & Lock number; Forward flight prediction methods (performance, blade dynamics); Helicopter performance prediction (endurance, range, speed, power); Advanced topics (reverse flow, dynamic Stall, compound helicopters)"
AE 681,Combustion of Solid Propellants,Theory,Interdisciplinary STEM Course.,I - Nagendra Kumar,"9
Mon-9A-15:30:00-16:55:00-Class Room : LC 302
Thu-9B-15:30:00-16:55:00-Class Room : LC 302", ,[],6," Introduction: Solid propellants, Solid rocket motors and their classification, Rocket performance parameters  Characterization of solid propellants: (a) Properties of basic ingredients, mixing and processing of solid propellants (b) combustion characteristics of solid propellants: burn rate law, temperature sensitivity, LPDL, effect of various parameters, (c) Experimental techniques: Measurement of burn rate, temperature sensitivity, specific impulse, combustion efficiency and thrust. Challenges in measurements under hostile conditions. (d) Mechanical properties of solid propellants, sensitivity and handling  Solid rocket motor operation: Time evolution of pressure and web thickness, various grain shapes, incremental analysis to predict pressure-time curve, Analysis of motors with head end / aft end fynocyl configuration and their pressure time curve  Steady state solid propellant combustion: Governing equations, Interface boundary conditions, Combustion of Mono-propellants: Ammonium Perchlorate (AP), effect of additives, Combustion of double base propellants, Combustion of composite solid propellants. Combustion of non-aluminized solid propellants, particle size effect of AP, plateau and dual plateau compositions, effect of additives, Combustion of aluminized propellants and two phase losses  Sandwich propellants: Introduction, combustion of sandwich propellants, Thick vs thin sandwiches, Pressure dependence of sandwich propellants  Erosive burning: Theoretical aspects, empirical and semi-empirical theories, Measurement of erosive burning  Ignition and extinction of solid propellants: Types of igniter, Operation of igniter, charge composition, igniter performance, Theoretical analysis of ignition, Extinction analysis of solid rocket motor, Methods of extinction, Rapid depressurization  Combustion Instability: Theoretical analysis, admittance and energy growth rate, Pressure and velocity coupled response, Damping mechanisms in solid rocket motor  Special solid propellants: Gun Propellants, Fuel Rich Propellants (FRP), Gas generator (GG) propellants, High energy materials (HEMs) and their applications"
